machine_id,timestamp_start,timestamp_end,state,duration_seconds,parts_total
M01,2026-07-14 06:00:00,2026-07-14 06:15:00,Running,900,0
M01,2026-07-14 06:15:00,2026-07-14 06:30:00,Running,900,10
M01,2026-07-14 06:30:00,2026-07-14 06:45:00,Running,900,20
M01,2026-07-14 06:45:00,2026-07-14 07:00:00,Running,900,30
M01,2026-07-14 07:00:00,2026-07-14 07:15:00,Running,900,5
M01,2026-07-14 07:15:00,2026-07-14 07:30:00,Running,900,15
M01,2026-07-14 07:30:00,2026-07-14 07:45:00,Running,900,25
M01,2026-07-14 07:45:00,2026-07-14 08:00:00,Running,900,35
M01,2026-07-14 08:00:00,2026-07-14 08:15:00,Running,900,45
M01,2026-07-14 08:15:00,2026-07-14 08:30:00,Running,900,50
