machine_id,timestamp_start,timestamp_end,state,idle_seconds_total
M01,2026-07-14 00:00:00,2026-07-14 02:00:00,Idle,0
M01,2026-07-14 02:00:00,2026-07-14 04:00:00,Idle,0
M01,2026-07-14 04:00:00,2026-07-14 06:00:00,Idle,3000
M01,2026-07-14 06:00:00,2026-07-14 08:00:00,Idle,3000
M01,2026-07-14 08:00:00,2026-07-14 10:00:00,Idle,3000
M01,2026-07-14 10:00:00,2026-07-14 12:00:00,Idle,9000
M01,2026-07-14 12:00:00,2026-07-14 14:00:00,Idle,9000
M01,2026-07-14 14:00:00,2026-07-14 16:00:00,Idle,18000
M01,2026-07-14 16:00:00,2026-07-14 18:00:00,Idle,18000
M01,2026-07-14 18:00:00,2026-07-14 20:00:00,Idle,24000
